sub-001,equalIndifference
sub-002,equalRange
sub-003,equalIndifference
sub-004,equalRange
sub-005,equalIndifference
sub-006,equalRange
sub-008,equalRange
sub-009,equalIndifference
sub-010,equalRange
sub-011,equalIndifference
sub-013,equalIndifference
sub-014,equalRange
sub-015,equalIndifference
sub-017,equalIndifference
sub-018,equalRange
sub-019,equalIndifference
sub-020,equalRange
sub-021,equalIndifference
sub-022,equalRange
sub-024,equalRange
sub-025,equalIndifference
sub-026,equalRange
sub-027,equalIndifference
sub-029,equalIndifference
sub-032,equalRange
sub-033,equalIndifference
sub-035,equalIndifference
sub-036,equalRange
sub-037,equalIndifference
sub-038,equalRange
sub-039,equalIndifference
sub-040,equalRange
sub-041,equalIndifference
sub-043,equalIndifference
sub-044,equalRange
sub-045,equalIndifference
sub-046,equalRange
sub-047,equalIndifference
sub-049,equalIndifference
sub-050,equalRange
sub-051,equalIndifference
sub-052,equalRange
sub-053,equalIndifference
sub-054,equalRange
sub-055,equalIndifference
sub-057,equalIndifference
sub-058,equalRange
sub-059,equalIndifference
sub-060,equalRange
sub-061,equalIndifference
sub-062,equalRange
sub-063,equalIndifference
sub-064,equalRange
sub-066,equalRange
sub-067,equalIndifference
sub-068,equalRange
sub-069,equalIndifference
sub-070,equalRange
sub-071,equalIndifference
sub-072,equalRange
sub-073,equalIndifference
sub-074,equalRange
sub-075,equalIndifference
sub-076,equalRange
sub-077,equalIndifference
sub-079,equalIndifference
sub-080,equalRange
sub-081,equalIndifference
sub-082,equalRange
sub-083,equalIndifference
sub-084,equalRange
sub-085,equalIndifference
sub-087,equalIndifference
sub-089,equalIndifference
sub-090,equalRange
sub-092,equalRange
sub-093,equalIndifference
sub-094,equalRange
sub-095,equalIndifference
sub-096,equalRange
sub-098,equalRange
sub-099,equalIndifference
sub-102,equalRange
sub-103,equalIndifference
sub-104,equalRange
sub-105,equalIndifference
sub-106,equalRange
sub-107,equalIndifference
sub-108,equalRange
sub-109,equalIndifference
sub-110,equalRange
sub-112,equalRange
sub-113,equalIndifference
sub-114,equalRange
sub-115,equalIndifference
sub-117,equalIndifference
sub-118,equalRange
sub-119,equalIndifference
sub-120,equalRange
sub-121,equalIndifference
sub-123,equalIndifference
sub-124,equalRange